3, 12, 15, 19, 22, 27, 29, 30, 40, 46, 50, 52, 54, 55, 59, 63, 64, 65, 67, 70
6, 9, 13, 16, 17, 20, 21, 30, 36, 42, 46, 50, 51, 53, 54, 57, 58, 66, 69, 70
1, 4, 5, 6, 10, 17, 20, 25, 29, 30, 33, 36, 37, 39, 49, 50, 52, 54, 55, 70
2, 3, 5, 7, 13, 24, 27, 28, 32, 35, 39, 40, 45, 50, 55, 60, 64, 68, 69, 70
1, 11, 12, 17, 18, 19, 20, 21, 23, 27, 29, 30, 31, 35, 37, 39, 44, 47, 51, 59
1, 6, 11, 13, 17, 18, 21, 25, 30, 32, 37, 39, 41, 47, 52, 56, 59, 63, 65, 69
4, 11, 13, 17, 20, 25, 27, 30, 34, 35, 39, 43, 46, 47, 52, 59, 63, 66, 67, 68
1, 3, 6, 8, 20, 21, 23, 26, 28, 33, 34, 35, 37, 43, 44, 51, 52, 53, 64, 65
6, 13, 17, 20, 22, 35, 36, 37, 38, 47, 48, 49, 50, 52, 53, 59, 60, 62, 64, 67
6, 9, 17, 20, 24, 25, 26, 27, 28, 31, 32, 39, 44, 46, 48, 58, 61, 65, 68, 70
4, 9, 11, 23, 24, 26, 27, 28, 30, 36, 37, 38, 39, 40, 43, 47, 48, 49, 54, 69
5, 8, 14, 17, 18, 22, 23, 28, 34, 37, 39, 40, 45, 46, 49, 57, 61, 65, 67, 69
9, 10, 11, 15, 23, 28, 29, 32, 34, 36, 37, 38, 41, 46, 53, 56, 64, 65, 67, 69
1, 2, 15, 16, 21, 22, 31, 32, 33, 36, 37, 42, 43, 45, 46, 52, 53, 60, 63, 70
1, 6, 15, 16, 24, 29, 40, 44, 46, 48, 51, 52, 53, 55, 58, 60, 61, 62, 65, 69
2, 8, 11, 13, 17, 21, 23, 24, 26, 30, 33, 34, 35, 36, 44, 46, 58, 60, 61, 70
2, 4, 9, 11, 14, 19, 20, 22, 25, 34, 41, 43, 47, 48, 50, 52, 59, 60, 64, 69
1, 8, 9, 11, 14, 18, 21, 26, 27, 29, 32, 40, 41, 44, 46, 47, 57, 60, 64, 67
3, 6, 7, 12, 19, 22, 26, 30, 34, 35, 47, 53, 54, 58, 59, 60, 63, 64, 68, 69
4, 5, 7, 10, 12, 19, 21, 22, 24, 29, 35, 36, 39, 46, 50, 55, 59, 61, 64, 68
1, 2, 9, 11, 19, 20, 23, 27, 28, 30, 36, 41, 43, 53, 57, 59, 64, 66, 68, 69
12, 14, 16, 17, 20, 22, 25, 27, 32, 34, 35, 37, 39, 43, 45, 46, 59, 63, 64, 66
3, 5, 7, 12, 13, 18, 20, 21, 22, 28, 43, 51, 58, 59, 62, 64, 66, 67, 69, 70
3, 5, 6, 7, 12, 13, 16, 37, 40, 42, 43, 49, 52, 53, 54, 58, 67, 68, 69, 70
1, 8, 9, 10, 11, 16, 18, 23, 27, 29, 31, 35, 36, 40, 46, 47, 55, 57, 61, 63
3, 13, 17, 21, 24, 26, 27, 29, 32, 33, 39, 41, 42, 44, 49, 53, 54, 55, 64, 68
1, 2, 5, 13, 23, 25, 26, 31, 36, 41, 42, 46, 48, 52, 53, 58, 63, 65, 67, 70
